Поток 2, шаг 0, позиция 0
Поток 1, шаг 1, позиция 40
Поток 4, шаг 1, позиция 40
Поток 5, шаг 2, позиция 47
Поток 3, шаг 2, позиция 47
Поток 2, шаг 1, позиция 39
Поток 4, шаг 2, позиция 42
Поток 5, шаг 0, позиция 47
Поток 3, шаг 0, позиция 47
Поток 1, шаг 1, позиция 41
Поток 5, шаг 2, позиция 49
Поток 2, шаг 2, позиция 41
Поток 1, шаг 2, позиция 43
Поток 4, шаг 0, позиция 42
Поток 3, шаг 2, позиция 49
Поток 2, шаг 2, позиция 43
Поток 1, шаг 2, позиция 45
Поток 4, шаг 1, позиция 43
Поток 2, шаг 2, позиция 45
Поток 4, шаг 0, позиция 43
Поток 1, шаг 0, позиция 45
Поток 2, шаг 0, позиция 45
Поток 1, шаг 0, позиция 45
Поток 4, шаг 0, позиция 43
Поток 1, шаг 0, позиция 45
Поток 2, шаг 2, позиция 47
Поток 4, шаг 0, позиция 43
Поток 2, шаг 0, позиция 47
Поток 4, шаг 0, позиция 43
Поток 1, шаг 0, позиция 45
Поток 2, шаг 1, позиция 48
Поток 1, шаг 1, позиция 46
Поток 4, шаг 0, позиция 43
Поток 2, шаг 1, позиция 49
Поток 1, шаг 0, позиция 46
Поток 4, шаг 0, позиция 43
Поток 1, шаг 1, позиция 47
Поток 4, шаг 2, позиция 45
Поток 1, шаг 1, позиция 48
Поток 4, шаг 2, позиция 47
Поток 1, шаг 2, позиция 49
Поток 4, шаг 1, позиция 48
Поток 4, шаг 2, позиция 49
Победитель: Поток 3
